0;706;-101856.51;-101822.02;15
1;703;-101884.93;-101826.65;15
2;719;-102227.22;-101894.71;15
3;718;-102227.55;-101920.36;15
4;728;-102509.72;-101859.8;15
5;729;-102515.87;-101878.09;15
6;724;-102849.51;-101421.76;15
7;129;-102865.58;-101399.39;15
8;763;-103544.73;-101579.29;15
9;754;-103586.35;-101579.63;15
10;183;-103678.36;-96590.26;15
11;791;-103705.46;-96673.6;15
12;595;-103725.69;-95975.2;15
13;182;-103746.76;-96396.66;15
14;181;-103780.59;-96372.2;15
15;180;-103842.39;-96260.96;15
16;594;-103879.91;-95751.23;15
17;185;-103922.82;-96235.62;15
18;89;-103934.24;-96642.56;15
19;90;-103960.0;-96640.32;15
20;107;-103972.32;-95981.88;15
21;250;-104031.08;-96173.83;15
22;597;-104058.98;-95839.14;15
23;953;-104075.89;-95771.82;15
24;248;-104091.69;-96778.69;15
25;243;-104117.95;-97049.09;15
26;247;-104200.64;-96833.39;15
27;609;-104226.49;-95797.22;15
28;242;-104235.94;-96573.14;15
29;255;-104240.6;-96543.14;15
30;82;-104255.84;-95234.54;15
31;604;-104256.82;-95173.34;15
32;798;-104277.99;-101693.69;15
33;628;-104278.8866659752;-94122.56603635015;15
34;799;-104280.83;-98312.61;15
35;39;-104282.32;-95055.6;15
36;50;-104287.85;-94105.37;15
37;599;-104296.72;-95828.26;15
38;40;-104302.13;-95043.86;15
39;1010;-104303.63612383851;-98554.77838335252;15
40;246;-104328.14;-96988.84;15
41;260;-104345.95;-97003.12;15
42;985;-104367.95010080477;-95373.18330437149;15
43;608;-104373.51;-95357.73;15
44;249;-104397.14;-96680.46;15
45;254;-104407.0;-96522.21;15
46;205;-104431.06;-101723.48;15
47;622;-104445.64;-94921.33;15
48;230;-104447.68;-98306.88;15
49;51;-104458.04;-94329.86;15
50;44;-104458.52;-94926.22;15
51;234;-104471.99;-98565.73;15
52;38;-104497.842173306;-94358.90888110301;15
53;224;-104563.77;-98320.53;15
54;620;-104565.8832899218;-94653.67859291832;15
55;45;-104578.88;-94652.12;15
56;614;-104594.97;-95684.18;15
57;239;-104604.14;-97197.81;15
58;238;-104609.35;-97210.07;15
59;46;-104609.99;-95693.01;15
60;226;-104618.82;-98507.86;15
61;42;-104624.97;-95613.11;15
62;600;-104631.8;-95630.5;15
63;602;-104677.06;-94473.47;15
64;601;-104683.1;-94486.15;15
65;48;-104710.71;-95177.32;15
66;192;-104730.8063985632;-101677.1818401642;15
67;190;-104741.4;-101691.52;15
68;49;-104758.56;-95206.97;15
69;232;-104768.69;-98266.88;15
70;52;-104801.2;-98279.24;15
71;612;-104807.71;-95652.96;15
72;613;-104817.75;-95640.29;15
73;193;-104911.86;-101688.38;15
74;233;-104935.73;-98290.43;15
75;231;-104942.78;-98303.15;15
76;241;-104957.37;-97342.73;15
77;240;-104965.93;-97337.63;15
78;611;-104989.68;-95554.55;15
79;610;-104998.77;-95557.54;15
80;286;-105046.86;-101627.86;15
81;332;-105119.12;-97474.49;15
82;331;-105122.88;-97490.88;15
83;315;-105155.04;-98252.49;15
84;312;-105181.29;-98229.14;15
85;314;-105206.62;-98321.51;15
86;292;-105227.47;-102176.58;15
87;295;-105236.25;-102190.54;15
88;313;-105254.68;-97686.43;15
89;270;-105268.41;-102428.49;15
90;293;-105274.84;-101913.18;15
91;323;-105277.7;-97707.8;15
92;291;-105291.98;-101912.29;15
93;278;-105488.63;-101308.47;15
94;280;-105520.95;-101295.9;15
