0;79;-107011.55;-95214.57;Bom;Fechado dos Lados;Yes;Vimeca;103;Rua Damião de Góis;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
1;593;-103777.02;-94637.67;Bom;Sem Abrigo;No;Vimeca;300;Avenida dos Cavaleiros;Carnaxide e Queijas
2;499;-103758.44;-94393.36;Bom;Fechado dos Lados;Yes;Vimeca;300;Avenida dos Cavaleiros;Carnaxide e Queijas
3;494;-106803.2;-96265.84;Bom;Sem Abrigo;No;Vimeca;389;Rua São João de Deus;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
4;480;-106757.3;-96240.22;Bom;Sem Abrigo;No;Vimeca;389;Rua São João de Deus;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
5;957;-106911.18264993648;-96261.15727273724;Bom;Sem Abrigo;No;Vimeca;399;Escadinhas da Fonte da Maruja;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
6;366;-106021.37;-96684.5;Bom;Fechado dos Lados;Yes;Vimeca;411;Avenida Dom Pedro V;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
7;365;-106016.12;-96673.87;Bom;Fechado dos Lados;Yes;Vimeca;411;Avenida Dom Pedro V;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
8;357;-105236.99;-96664.4;Bom;Fechado dos Lados;Yes;Vimeca;1279;Avenida Tomás Ribeiro;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
9;336;-105143.57;-96690.32;Bom;Fechado dos Lados;Yes;Vimeca;1279;Avenida Tomás Ribeiro;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
10;334;-105336.07;-96668.68;Bom;Fechado dos Lados;Yes;Vimeca;1279;Avenida Tomás Ribeiro;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
11;251;-104487.69;-96548.01;Bom;Fechado dos Lados;Yes;Vimeca;1279;Avenida Tomás Ribeiro;Carnaxide e Queijas
12;469;-106613.44;-96288.0;Bom;Fechado dos Lados;Yes;Vimeca;1288;Rua Rodrigo Albuquerque e Melo;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
13;462;-106636.23;-96302.04;Bom;Sem Abrigo;No;Vimeca;1288;Rua Rodrigo Albuquerque e Melo;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
14;44;-104458.52;-94926.22;Bom;Fechado dos Lados;Yes;Vimeca;1134;Largo Sete de Junho de 1759;Carnaxide e Queijas
15;78;-107008.56;-95490.23;Bom;Fechado dos Lados;Yes;Vimeca;118;Alameda Hermano Patrone;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
16;609;-104226.49;-95797.22;Bom;Fechado dos Lados;Yes;Vimeca;327;Avenida do Forte;Carnaxide e Queijas
17;599;-104296.72;-95828.26;Bom;Fechado dos Lados;Yes;Vimeca;327;Avenida do Forte;Carnaxide e Queijas
18;595;-103725.69;-95975.2;Bom;Fechado dos Lados;Yes;Vimeca;354;Rua Manuel Teixeira Gomes;Carnaxide e Queijas
