0;21;-105136.75;-95897.19;Bom;Fechado dos Lados;Yes;Carris;751;416;Alameda António Sérgio;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
1;11;-105158.82133137222;-95894.138612021;Bom;Fechado dos Lados;Yes;Carris;751;416;Alameda António Sérgio;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
2;650;-105259.11583333602;-95350.7183333344;Bom;Sem Abrigo;No;Carris;751;113;Alameda FerNo Lopes;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
3;23;-105261.03;-95520.31;Bom;Sem Abrigo;No;Carris;751;124;Avenida José Gomes Ferreira;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
4;13;-105268.05;-95547.68;Bom;Fechado dos Lados;Yes;Carris;751;124;Avenida José Gomes Ferreira;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
5;651;-105300.44;-95336.46;Bom;Fechado dos Lados;Yes;Carris;751;113;Alameda FerNo Lopes;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
6;15;-105325.87;-95135.44;Bom;Fechado dos Lados;Yes;Carris;751;113;Alameda FerNo Lopes;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
7;645;-105353.27;-95172.19;Bom;Fechado dos Lados;Yes;Carris;751;113;Alameda FerNo Lopes;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
8;54;-105456.01;-94993.65;Bom;Fechado dos Lados;Yes;Carris;751;116;Avenida General Norton de Matos;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
9;53;-105462.27;-94976.17;Bom;Fechado dos Lados;Yes;Carris;751;116;Avenida General Norton de Matos;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
10;640;-105655.76;-95028.52;Bom;Fechado dos Lados;Yes;Carris;751;116;Avenida General Norton de Matos;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
11;633;-105696.83;-95075.27;Bom;Fechado dos Lados;Yes;Carris;751;116;Avenida General Norton de Matos;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
12;677;-106071.42513405527;-95039.14634930693;Bom;Fechado dos Lados;Yes;Carris;751;10;Avenida dos Bombeiros Voluntários de Algés;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
13;670;-106112.38652897863;-95027.71017120726;Bom;Fechado dos Lados;Yes;Carris;751;10;Avenida dos Bombeiros Voluntários de Algés;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
14;676;-106283.09180093784;-95136.51301607293;Bom;Sem Abrigo;Yes;Carris;751;10;Avenida dos Bombeiros Voluntários de Algés;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
15;667;-106342.5;-95131.58;Bom;Fechado dos Lados;Yes;Carris;751;10;Avenida dos Bombeiros Voluntários de Algés;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
16;673;-106563.02096789006;-95186.78384945756;Bom;Sem Abrigo;No;Carris;751;10;Avenida dos Bombeiros Voluntários de Algés;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
17;672;-106566.19596789328;-95165.08801610208;Bom;Sem Abrigo;No;Carris;751;10;Avenida dos Bombeiros Voluntários de Algés;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
18;656;-106786.85846811836;-95149.7421827531;Bom;Fechado dos Lados;Yes;Carris;751;155;Praça Doutor Manuel Martins;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
19;69;-106799.79;-95252.14;Bom;Sem Abrigo;No;Carris;751;155;Praça Doutor Manuel Martins;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
20;1031;-107014.28376646667;-95156.66564817408;Bom;Sem Abrigo;No;Carris;751;102;Largo Dom Manuel I;Desconhecido
21;168;-107095.22;-95206.35;Bom;Fechado dos Lados;Yes;Carris;751;102;Largo Dom Manuel I;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo
